time_utc,open,high,low,close,tick_volume
2024-01-02 07:00:00,1.1030,1.1035,1.1028,1.1032,120
2024-01-02 08:00:00,1.1032,1.1038,1.1030,1.1036,135
2024-01-02 09:00:00,1.1036,1.1040,1.1031,1.1033,142
2024-01-02 10:00:00,1.1033,1.1037,1.1029,1.1030,150
2024-01-02 11:00:00,1.1030,1.1032,1.1024,1.1026,161
2024-01-02 12:00:00,1.1026,1.1031,1.1022,1.1024,170
2024-01-02 13:00:00,1.1024,1.1028,1.1019,1.1020,168
2024-01-02 14:00:00,1.1020,1.1023,1.1015,1.1017,173
2024-01-02 15:00:00,1.1017,1.1020,1.1011,1.1013,181
2024-01-02 16:00:00,1.1013,1.1018,1.1009,1.1010,176
